# Angles for annie_jab.mp4
# time, frame, left_elbow_deg, right_elbow_deg
16:00:05.028,    152, 112.7, NaN
16:00:05.062,    153, 124.6, 141.6
16:00:05.095,    154, 125.0, 128.0
16:00:05.128,    155, 108.5, NaN
16:00:05.162,    156, 88.7, NaN
16:00:05.195,    157, 70.9, NaN
16:00:05.228,    158, 59.0, NaN
16:00:05.262,    159, NaN, 31.1
16:00:05.295,    160, 49.6, 25.6
16:00:05.328,    161, 41.7, NaN
16:00:05.362,    162, 39.1, 19.9
16:00:05.395,    163, 36.2, NaN
16:00:05.428,    164, 35.0, NaN
16:00:05.462,    165, 35.3, 17.6
16:00:05.495,    166, 33.3, 14.9
16:00:05.528,    167, 32.9, 13.4
16:00:05.562,    168, 33.5, NaN
16:00:05.595,    169, 33.3, NaN
16:00:05.628,    170, 31.5, NaN
16:00:05.662,    171, 31.3, NaN
16:00:05.695,    172, 30.9, 9.2
16:00:05.728,    173, 29.4, NaN
16:00:05.762,    174, 29.1, NaN
16:00:05.795,    175, 28.6, NaN
16:00:05.828,    176, 27.9, 7.5
16:00:05.860,    177, 27.9, 7.8
16:00:05.893,    178, 29.3, 7.6
16:00:05.927,    179, 29.6, 8.6
16:00:05.960,    180, 30.1, 8.6
16:00:05.993,    181, 29.3, 9.1
16:00:06.027,    182, 30.0, 10.0
16:00:06.060,    183, 33.1, NaN
16:00:06.093,    184, 42.0, NaN
16:00:06.127,    185, 77.9, NaN
16:00:06.160,    186, 152.4, NaN
16:00:06.193,    187, NaN, NaN
16:00:06.227,    188, NaN, NaN
16:00:06.260,    189, NaN, NaN
16:00:06.293,    190, NaN, NaN
16:00:06.327,    191, 114.0, NaN
16:00:06.360,    192, 58.3, NaN
16:00:06.393,    193, 39.4, NaN
16:00:06.427,    194, 26.8, NaN
16:00:06.460,    195, 28.9, NaN
16:00:06.493,    196, 38.6, NaN
16:00:06.527,    197, 49.1, NaN
16:00:06.560,    198, 70.5, NaN
16:00:06.593,    199, 124.6, NaN
16:00:06.627,    200, NaN, NaN
16:00:06.660,    201, 179.1, NaN
16:00:06.693,    202, 172.9, NaN
16:00:06.727,    203, NaN, NaN
16:00:06.760,    204, 120.6, NaN
16:00:06.793,    205, 61.9, NaN
16:00:06.827,    206, 48.3, NaN
